id,team
402,zerance holy mint(zerance mint)
403,sad esports
404,rey esports
405,crg
406,oxen x deagle(oxen)
407,dewü gaming
408,dasein club
409,dingle googy
410,na boostio & piggies
411,nom esports
412,flyquest red
413,bun n' gun
414,all gamers young
415,hornswogglers
416,six karma b
417,illicit
418,deagle bull beats
419,lootcifer
420,team türkiye
421,zeta division gc
422,todak
423,yaoguang
424,urachacha gc
425,nuclear gc
426,catnappers
427,wadadaa
428,gng esports
429,axelerate
430,striderz
431,coalesce
432,focusgg
433,sissi state punks
434,fluffy aimers
435,permitta unicorns
436,moist x shopify
437,rare atom
438,ambitious legend gaming
439,ppp
440,antares esports
441,kiwizitos
442,nova esports gc
443,formulation gc
444,fokus sakura
445,diamant esports
446,trashcan
447,tumt shark
448,cloud9 x shopify rebellion
449,kebab clan
450,jijiehao
451,arena internet cafe
452,haoxiang gaming
453,sin prisa gaming
454,team z
455,9z team gc
456,naxan
457,fennel gc
458,randoms
459,nemesis
460,eu rolly winners
461,team iam
462,netsservices
463,twisted saints esports
464,just some chill girls
465,rival esports
466,pr0nets
467,fn pocheon
468,team falcons
469,irish rizz empire
470,chaos alliance
471,drx changers
472,kaos latin gamers
473,darkzero esports
474,balkan tuah
475,keepbest gaming
476,qing jiu club
477,rvn
478,dragon
479,dream chaser
480,creator gaming gc
481,australs
482,rtzn
483,把牛變成鱒魚
484,vnu esports
485,cnesports
486,skål esports
487,team oasis
488,caramelin
489,gg gc
490,akave esports
491,revoada
492,jdg esports
493,babo
494,a nova onda do imperador
495,sherpa
496,mibh
497,oxygen esports
498,xipto x global esports
499,requiem
500,vcl rejects 2.0
501,genziary
502,five media clan
503,ktana esports
504,novo nightingale
505,solary
506,myvra
507,team big baam
508,blue eyes white dragon
509,team 123
510,the overdogs
511,aim ph
512,team nvus
513,chinggis warriors
514,quackers
515,k7 esports
516,roa esport
517,la familia
518,gamax esports
519,justus
520,dreams to legends
521,goodfor3
522,new combat line
523,mania
524,refrag
525,ps5patas
526,hsmix
527,rankers
528,paper rex x spotlight series
529,zy gaming
530,amigos esports
531,shrimp gaming
532,fuzos
533,tyloo gc
534,team unicorn
535,medal esports
536,oneotwo
537,xtreme gaming
538,washed
539,incognito
540,rose
541,nuclear
542,mad lions koi
543,orkadia esports
544,bubatzbuben
545,elation vortex
546,dgu
547,twa
548,ruddy
549,5stars esport
550,maru gaming
551,team seibi
552,dawgs
553,axolotl esports
554,vx300 gaming
555,tenz and friends
556,game pt
557,base beta esport
558,orquestra do maestro
559,torch(washed)
560,rock bottom
561,team sacake
562,lp33
563,ydz esports
564,aka hero
565,deagle ravagers
566,urachacha
567,ihc esports
568,tela nvbing esports
569,pulse esports
570,underworld uprising
571,envee esports
572,ingenious esports
573,northeption youth
574,onlyfins
575,team international
576,team thailand
577,peace and love
578,mamacita
579,mixpe
580,gamax lite
581,xcrew esports
582,full sense catz
583,wintermint
584,army national guard
585,rulaugh
586,i want sponsor
587,the ultimates odyssey
588,nyan esports
589,cumberland rising
590,justice for tomorrow
591,kingi
592,reignite lily
593,team f0rsaken
594,team xccurate
595,acend
596,t2
597,misk
598,hippostrikesagain
599,zero 7
600,team blue
601,team red
602,team ddpy
603,team fwa
604,leones invicti
605,cantplaythrifties
606,culturized
607,solati
608,permitta unicorns gc
609,team l7
610,joker
611,ottawa braves
612,moist moguls
613,geekay esports
614,carti world
615,dominatus
616,hero zero anubis
617,misfits black
618,supernova galaxy
619,chao hui edward gaming
620,funcrew
621,the who?
622,evil geniuses gc
623,complexity gx3
624,anorthosis famagusta esports
625,anomaly no charms
626,rrq kaguya
627,the hero
628,valhalla
629,aros
630,ehehxd
631,please don't fire
632,cyber wolves esports
633,loafing cats
634,blahaj huggers
635,version1
636,overkill black
637,philippines
638,cambodia
639,argon black
640,akroma
641,chipi chapa's
642,purpure
643,full sail armada
644,b8 esports
645,ovation esports
646,hive valkyries
647,karma
648,gwangju shadow
649,op.gg sports
650,reignite
651,hmble
652,egn esports
653,let us cook
654,xyz
655,hero base
656,bleed
657,attack all around
658,95x esports
659,nerdpunt
660,kingzone
661,kunpeng gaming
662,dewa united esports
663,unicorns of love
664,passion project
665,x10 esports
666,louvre
667,berzerkers night
668,weeping angels
669,acend rising
670,freeaction
671,skull cracker quartz
672,untapped
673,cba
674,semorgainda 3.0
675,top gun
676,noot noot
677,milenut hannie
678,rapid ninjas
679,ex0tik gaming
680,elevate
681,no future life is over
682,born to hiii
683,monarch effect
684,3dmax
685,ghetto artist
686,anti eco eco club
687,neon blade
688,beyblade ninjas
689,rebels velvet
690,totoro gaming
691,douyu gaming
692,enigma gaming
693,kizuna esports
694,hurricane of feathers
695,giants gaming
696,crest gaming stellar
697,elblast gc
698,od gaming
699,tbd
700,mvp esports
701,action ph
702,clg red
703,qor gc
704,happy2bhere
705,aspyre x swarm
706,le crapaud
707,pwyh
708,kone esports club
709,btr fanclub
710,van lyn
711,case esports
712,case hydra
713,excel gc
714,built for greatness
715,nightblood gaming(nightblood gaming)
716,valee thai esports
717,angry titans
718,attacking soul esports
719,vec daejeon
720,falcons
721,aym esports
722,entertainment district
723,team karma
724,frogless
725,fw esports
726,crit esports
727,mixx
728,xit
729,divizon
730,brasil 2002
731,stellae academy
732,rebels gaming
733,team queso
734,permitta esports
735,v
736,lazy
737,qlash
738,team vikings
739,twokay
740,lrv esports
741,mercury
742,predator x gaming
743,team snakes
744,krc genk esports
745,blx utd
746,gtz esports
747,jadeite
748,crazy raccoon
749,rio company
750,utt esports
751,thunderbolts gaming
752,invictus gaming
753,amoris vega
754,sk gaming
755,one more aves
756,instalocked
757,neptune's money crew
758,snirot daycare
759,ftw esports
760,optix
761,thoti's golden children
762,awaken
763,asmodeus colosseum gc
764,9to5 workers
765,os piticos
766,mad science
767,ccg esports
768,legacy
769,take back control
770,syko
771,dortmund esports crescent
772,ascendancy
773,anonymo esports
774,kpi shine
775,ninjas in pyjamas lightning
776,noite paulista
777,lfg portal
778,the infinity esport
779,flash
780,enter force.36
781,bnb
782,cumberland phoenix
783,lucky 7
784,st. clair saints
785,fokus & friends
786,drift
787,crocodile tears
788,team celestials
789,mlt esports gc
790,grayfox esports
791,mlt esports
792,the hero kda
793,global esports phoenix
794,barcelona sporting x
795,gyudon eating
796,gumkáči
797,dead orbit
798,where is fullerton
799,o7
800,black team
801,hyderabad hydras
802,torch
803,team 7
804,gmt esports
805,fishing rods
806,movistar riders
807,triple esports club
808,oddik
809,00nation
810,szypko
811,entropolo
812,the boys
813,unpaid dogs
814,skull cracker
815,cruzados esports fem
816,oxen gc
817,old stinky cat
818,oresports
819,sad purple
820,who cars?
821,outplayed
822,axx
823,griffin e-sports
824,zero marksmen black
825,vamonos
826,royal never give up
827,xu gang
828,vandals
829,5 clown
830,awake gaming female
831,four angry men
832,invincible gaming
833,fut female
834,panthers esports
835,regnum carya esports
836,gaming up
837,begenius
838,99 strength
839,dark ratio
840,number one player
841,unknownpros
842,reverse 7
843,hexagon
844,dough bros
845,shift
846,nearest airport
847,team aku aku
848,natus vincere celestials
849,les petits bouffons
850,olimpo
851,mad lions
852,superfect esports
853,19esports
854,son of 4 dogs
855,good morrow
856,hike digital esports
857,the glazers(dough bros)
858,lunatic-hai flax
859,obelisk
860,the basement
861,geekay esports cherry
862,boss g kdm
863,the silk road
864,heet
865,ok gaming
866,1millisecond black
867,boise state university
868,cop'em manila
869,subversive
870,groundzero
871,ninjas in pyjamas
872,mfs
873,victory
874,alien anonymo
875,alliance coven
876,carnival gaming
877,no brain no aim
878,indonesia
879,unity esports
880,gods reign
881,panda
882,tjd esports club
883,1st megasaver
884,aster army
885,ebro gaming
886,cyberking esports
887,xsoul
888,orangutan x
889,rank el cuties
890,floppers
891,nsic
892,team sarafa
893,varrel
894,singapore
895,full sense sapphire
896,eco chálks
897,mammoth esc
898,meraki
899,beckardigans
900,legacy gc
901,carti esports
902,ginger supremacy
903,guild gc
904,detonation focusme gc
905,kk kazuki
906,medusa
907,anaadi army
908,scythe nwj
909,geekz energy esports
910,aricat esport family
911,glip
912,northeption
913,team kobolds
914,one team esports
915,barn nong chok
916,the nation
917,gamelab alpha
918,team vernina
919,team benita
920,tim tài trơ
921,wlgaming esports
922,the guard
923,ender dragon
924,ydz infinity
925,newhappy esports
926,les sixz
927,full house
928,mochi fanclub
929,generation of miracles
930,team ogs
931,des moines dmg
932,realism esports
933,all ways incheon
934,faze clan gc
935,scarlet
936,solstice
937,malaysia
938,the barbers
939,incheon on sla2ers
940,cva
941,rnkko esports
942,cleiteam
943,koi
944,stealing lunch money
945,notilt
946,optix fem
947,team majesty
948,bravado gaming
949,infinity x
950,reliance
951,골판지 전사
952,revival
953,aex-1
954,money first
955,team smg gc
956,lgd gaming
957,abaddon abyss
958,human tripwires
959,origami team
960,team ludwig
961,team tarik
962,reign
963,acadêmicos do tucuruvi
964,arkangel esports
965,the union
966,pds esports
967,team fish taco
968,ttl
969,uxmi ace
970,nonamerabbit
971,unspoken rizz
972,ragequit rejects
973,fletcher fan club
974,project vii
975,the ganaccis
976,los bandidos
977,kopfshootaz
978,lil bros
979,nyx kyosei
980,xset
981,disguised gc
982,kulin esports
983,antic esports
984,solidarity
985,gosu
986,no salary peek
987,team occupy
988,orgless
989,afterhours
990,hog riders
991,sovereigns
992,ghost commandos
993,pound town
994,comet esports club
995,the mad men
996,sapphire
997,tropa do avanço
998,scroll lock
999,socks up
1000,bestial
1001,astro world
1002,sbg
1003,exyz(xyz)
1004,andy's farmers
1005,vex dragons
1006,libertados
1007,bb.w7m
1008,basilisk
1009,fluid gaming
1010,co-op.gg
1011,gyogun
1012,fake da shi
1013,puggers
1014,gelida esports
1015,capybara
1016,family
1017,vikings fourteen
1018,faze clan
1019,moon raccoons
1020,kitten shelter
1021,resonate
1022,shenzhen nter
1023,bonkers
1024,thinking men
1025,keyd stars
1026,thailand attitude
1027,dark passage
1028,köstebekgi̇ller
1029,ivy league gaming
1030,weibo gaming
1031,night wings gaming
1032,dis esports
1033,team mystic black
1034,cream team
1035,dsyre gc
1036,infinity
1037,mabuhay
1038,honey badgers
1039,dreammax
1040,gank gaming
1041,velaris
1042,los vigentes
1043,1millisecondx
1044,globant emerald team
1045,there is no tomorrow
1046,van lyn magenta
1047,bhop esports
1048,here to gamble
1049,rambutan ni tatay
1050,penguin platoon
1051,wasted talent
1052,hyperspeed onyx
1053,how did we get here
1054,pixel
1055,turningmecard
1056,lone way e-sports
1057,meteor
1058,da feng gou
1059,grow gaming
1060,hungkuang falcon
1061,retiredgamers
1062,aussie underdog
1063,raw dawgs
1064,crwnz
1065,kimchi fried rice
1066,team path
1067,xaprala
1068,1337
1069,one chance
1070,shopify rebellion gc
1071,godlike esports
1072,nitrous gaming
1073,casa noturna
1074,the zoo
1075,misu's qts(paw pals)
1076,monaco esports
1077,igzist female
1078,underground gaming
1079,team resilience
1080,funplus phoenix zhuque
1081,shock unit
1082,exalty
1083,kirbee squad
1084,os cara cego
1085,thebais
1086,pookie nation
1087,burgerville
1088,damwon gaming
1089,geek fam
1090,flamengo esports
1091,dopeness fluffy
1092,ctrl elektra
1093,ghr lycoris
1094,nexga
1095,reve drift arena
1096,fenda dos streamers
1097,duplaw
1098,sila4i
1099,nana and friends
1100,macko esports
1101,soniqs
1102,fate esports
1103,liberty
1104,eu e minhas mana
1105,belford roxo team
1106,laterious
1107,visa krü(krü esports)
1108,chosen clique gaming gc
1109,peek-a-boomers(backoutsideboys)
1110,ender
1111,boomba rosa
1112,squad6
1113,"nada mal si nos tá, fazendo dinheiro..."
1114,et white
1115,hey! yakiniku
1116,virtuoso
1117,teamaceoverquality(over quality)
1118,ambitious gaming
1119,fisher navy
1120,garuda
1121,fuvi
1122,oxyg3nious
1123,untamable beasts
1124,chaos
1125,5donkeyshehe(ions day care)
1126,uppies kittens
1127,wide swing
1128,tropicaos
1129,beyond stratos gaming gc
1130,gen.g global academy gc
1131,arca do marlow
1132,tales of eastern
1133,blitz esports
1134,albion
1135,hungarikum
1136,we love women
1137,i got mine white
1138,roblox rejects
1139,team lixa
1140,insomnia gc
1141,reborn zero fairy
1142,team revenge
1143,cyber geek
1144,ariana grande perfume
1145,grind time
1146,stg gaming
1147,stream raiders nacague
1148,team 4d
1149,vision esports
1150,ex-eg reserve
1151,gng amazigh white
1152,motiv esports
1153,90 kg
1154,sjsu blue
1155,ubc esports
1156,mixup
1157,dominus esports
1158,valkyrie
1159,cataclysm gaming
1160,vietnam
1161,indiana hoosiers
1162,ipgn
1163,yumperigo
1164,scarz gc
1165,chosen 1s black
1166,carleton ravens
1167,neema's money crew
1168,team aniemal
1169,ryze esports
1170,bucky bandits
1171,ucla esports gc
1172,scissor sisters
1173,pundamonium
1174,avernus esports
1175,mookah rabbits
1176,papa esports
1177,red eye
1178,jiliboo
1179,albion gc
1180,over quality
1181,boomertin
1182,wave esports
1183,010 esports
1184,frequency
1185,bear bandits
1186,ignite beyond
1187,team offlinetv
1188,team mogul moves
1189,scaroo's
1190,kaze obelisk
1191,sniper elite
1192,iphone13giveaway
1193,point of authority blossom
1194,cnj esports
1195,figure8
1196,amanda's money crew
1197,tryingourbest
1198,hummer esports
1199,oddik bright
1200,hsdirr
1201,team starriebun
1202,team tiffae
1203,division 0
1204,clinically insane
1205,kami tenchi
1206,mct esports
1207,death be happen
1208,sussy players
1209,emasters
1210,napolyon
1211,team indigo
1212,life's a game
1213,ucsb gold
1214,skwirel warriers
1215,ninjas in galaxy
1216,paw pals
1217,who is 22gz(ions day care)
1218,laze
1219,akumu
1220,yuanyoyin
1221,fisher rising
1222,nameless
1223,dd team
1224,apac slayer
1225,uwaterloo gold
1226,vanntastic five
1227,archie dynamite dalmatians
1228,badua lipa
1229,headhunters
1230,tufts valulrant
1231,raindrops
1232,yippee
1233,santa gang
1234,mrvzt
1235,sanri-o's
1236,fear eater sierra
1237,deviant topaz
1238,top esports
1239,wingman patrol
1240,exceeli esports
1241,cowabungus
1242,phenix claire
1243,reseda okami
1244,the dealers
1245,cappers
1246,asians and stellar
1247,ggez
1248,parla esports
1249,spikerush esports
1250,apinaorkesteri
1251,donkey kong
1252,gamecoach academy
1253,좀비 아카데미
1254,teo teo teo
1255,bikini bottom pratahouse
1256,obk
1257,jordani
1258,gen.g black
1259,otter pops
1260,breakthru
1261,illuzion
1262,tp reven
1263,cosmic divide
1264,athena
1265,together we are terrific
1266,vcl rejects
1267,team south korea
1268,team japan
1269,team drone
1270,lajota vinny
1271,all aim
1272,supermassivebots
1273,after life esports
1274,325
1275,landodgers
1276,xo esports
1277,crownless
1278,putting in time
1279,husky phantom x
1280,sunxet club fem
1281,sky empire
1282,extraordinary
1283,mekong gaming
1284,pei wan e-sports
1285,idek
1286,world game star
1287,sealed
1288,reign above
1289,krunker demons
1290,black dragons fem
1291,capuwu
1292,team e blacks(dnc gamers)
1293,mid phase(backoutsideboys)
1294,authority fate
1295,focus e-sports gc
1296,ryze eclipsa gc
1297,team reckaroo
1298,mbu spartans
1299,5ks esports club
1300,five ace esports
1301,ispíní enjoyers
1302,narodni garda
1303,tsg esports
1304,team fivek
1305,team superbuss
1306,rat attack
1307,tenax
1308,xenom com m
1309,17gaming
1310,fiu varsity
1311,red flag
1312,abomineve
1313,gui su
1314,celestials
1315,corinthians 1920:1080
1316,the anime squad
1317,ratz
1318,yungmuzzy corps
1319,penguin party
1320,vixens
1321,emojipouce
1322,bref
1323,dmc(mochi fanclub)
1324,jenerators
1325,we live
1326,midnightsun_gold
1327,vexed.dev
1328,yari esports
1329,crime city
1330,taiyo esports
1331,bcr
1332,squirtle squad
1333,bakim corp
1334,i may
1335,incognito gc
1336,berzerkers
1337,getting info
1338,o2 esports
1339,neons
1340,xoxo-01
1341,tuzzy e-sports
1342,super shy
1343,tamaria altunga esports
1344,bigg scythe
1345,raven esports
1346,meats
1347,insanity
1348,i̇stanbul wildcats female
1349,archies gifted goldens
1350,goth boy clique
1351,army of five
1352,colors esport
1353,oq academy
1354,nora's kitten shelter
1355,1t
1356,cardboard rex
1357,howl moonlight
1358,xerox
1359,wildflowers
1360,brunei darussalam
1361,tàn dư esports
1362,ultimate
1363,never woulda thought
1364,six karma feminil
1365,i love valorant
1366,harmony opal
1367,feel the wood
1368,last resistance
1369,yfp white
1370,cpp white
1371,the grid
1372,miracle
1373,dxa esports gc
1374,k10
1375,bankai
1376,arcane
1377,lethal esports
1378,sendtreepay
1379,sfu pink
1380,saideira esports
1381,diversity
1382,nonnegative
1383,team amanda
1384,team kanpeki
1385,regans gaming
1386,laos
1387,focus e-sports
1388,majesty maidens
1389,derrek's dawgs
1390,young nutters club
1391,00nation fem
1392,normipaiva
1393,fire flux young
1394,mindcontrol
1395,mommy's kittens
1396,wtp
1397,f5 esports
1398,olympus gaming
1399,the unlockers 2
1400,pro mix team 2
1401,team mystic
1402,kobiet
1403,ffxd
1404,hyperspeed ruby
1405,rmu colonials
1406,odavrb
1407,true damage gaming
1408,undead gaming fem
1409,pug123
1410,looking for org 2.0
1411,guangzhou long lionz
1412,riley rabbits
1413,team phantom
1414,team vandal
1415,city boys
1416,chicago empyre
1417,hyperactive
1418,system e-sports
1419,team major academy
1420,five cell
1421,slots gaming
1422,las vegas inferno
1423,south built esports
1424,veni esports
1425,truly humble under god
1426,aqua gaming
1427,cosmic chaos
1428,uaesa green
1429,sway esports
1430,flopperfishers
1431,twitter drama
1432,delta esports
1433,bumble bees
1434,ast luminescent
1435,team emijuju
1436,team mle
1437,for fun
1438,ltg
1439,rizon maki
1440,border monsters
1441,j team
1442,tài năng trẻ
1443,royal pekingese
1444,csun black
1445,erau varsity
1446,txst esports
1447,riribunobsumi
1448,botiki prada
1449,xoxo esports
1450,wings up gaming
1451,special tigers gc
1452,baby poko
1453,coconut munchers
1454,bemyteam
1455,go cyrene
1456,glass ceiling
1457,silly waffle
1458,club penguin
1459,devilish grin
1460,6ix reformed(tedward gaming)
1461,asylum attendees
1462,tiger wong esports
1463,team villainous
1464,d0gsafari2
1465,sanguine rebels dragons
1466,100jobs
1467,finalformhq
1468,overkill
1469,ivc white
1470,voyager esports
1471,project z
1472,valiant pbl
1473,nguyeners
1474,scoobydoomix
1475,fear eater esports
1476,thugs
1477,event horizon
1478,mimicgg
1479,team mysticx
1480,attacking soul esports ovo
1481,goodfellas
1482,rima gc
1483,team bunny
1484,luxoria
1485,connext roster hunt
1486,wingman warriors
1487,retake mid
1488,les piments
1489,emotional support(mad science)
1490,shifty505
1491,귀여운 시키모리양
1492,first class
1493,quartetodos5
1494,newstar
1495,cuddle gang
1496,tyrant esports
1497,sad lions
1498,skyline spire
1499,diwan
1500,yalla esports
1501,kunpeng
1502,tempest sky
1503,never give up
1504,tamu maroon
1505,eternals gaming
1506,fantasy gaming
1507,black hole sun
1508,out the mud
1509,don't be weird
1510,calamity
1511,[redacted]
1512,new year gym membership
1513,uwaterloo white
1514,smart fellas
1515,reveal multigaming
1516,not wvu
1517,omnipotent gaming
1518,vortex
1519,the a team
1520,mluos munchkins
1521,hamboigas
1522,old school kr3w
1523,making it look easy
1524,square nation
1525,perfect world
1526,purpose gaming
1527,ucsd gold
1528,uc irvine
1529,father's back
1530,citrus e-sports
1531,sasanqua
1532,event horizon gc
1533,irregulars
1534,style
1535,bott
1536,vorpal swords
1537,the great escape
1538,hanma
1539,donas da bala
1540,team mystic venus
1541,polarity
1542,contraxscrub
1543,serendipity
1544,the mandem
1545,kosame
1546,dreamland
1547,sinistross
1548,虎尾566團購
1549,jns gaming
1550,delman
1551,lil divas
1552,mercury pink
1553,babysharkzazas
1554,polar bear
1555,moist moguls red
1556,team ketarys
1557,xdddd
1558,red team
1559,pink team
1560,cherry bomb
1561,team slandy
1562,team maryna
1563,skoll
1564,final form entertainment
1565,iladies
1566,capybara gang
1567,shift x
1568,having fun
1569,42c crayola pack
1570,hells paradise
1571,erin e amigas
1572,sdobbies
1573,ugly hamsters
1574,green team
1575,good 8 squad
1576,tn esports
1577,cookin papas
1578,charlotte esports
1579,team tupperware
