"match_url","team1","team2","score1","score2","AVG_KD1","AVG_KD2","AVG_ACS1","AVG_ACS2","map1","map2","map3","patch","date","league","winner"
"https://www.vlr.gg/459574/twisted-minds-vs-united-gaming-challengers-league-2025-mena-resilience-gcc-pakistan-iraq-split-1","55","56","2","0","1.362","0.64","239.4","156.6","3","2","null","10.04","22-03-2025","3","1"
"https://www.vlr.gg/465977/falke-esports-vs-novo-esports-challengers-league-2025-spain-rising-split-2-w2","47","5","2","0","1.15","0.8379999999999999","221.8","186.8","4","6","null","10.04","1-04-2025","3","1"
"https://www.vlr.gg/459042/karmine-corp-gc-vs-giantx-gc-game-changers-2025-emea-stage-1-gf","57","58","3","2","1.08","0.914","211.2","191.0","8","6","4","10.04","19-03-2025","6","1"
"https://www.vlr.gg/460812/oblivion-force-vs-s2-esports-challengers-league-2025-southeast-asia-split-2-qf","59","60","2","0","1.196","0.8220000000000001","222.8","175.4","2","3","null","10.04","21-03-2025","3","1"
"https://www.vlr.gg/461029/riddle-order-vs-noez-foxx-challengers-league-2025-japan-split-2-w3","61","62","2","0","1.0459999999999998","0.9299999999999999","199.8","194.0","4","6","null","10.04","2-04-2025","3","1"
"https://www.vlr.gg/441347/los-grandes-vs-2game-academy-gamers-club-challengers-league-2025-brazil-split-1-r6","63","64","2","0","1.1","0.9020000000000001","211.0","178.8","2","4","null","10.04","20-03-2025","3","1"
"https://www.vlr.gg/464412/gonext-esports-vs-formulation-gaming-challengers-league-2025-north-east-split-2-r1","65","66","1","0","1.228","0.788","223.4","172.0","9","null","null","10.04","29-03-2025","3","1"
"https://www.vlr.gg/458809/gen-g-vs-boom-esports-champions-tour-2025-pacific-stage-1-w1","67","68","0","2","0.9279999999999999","1.08","197.6","218.0","10","8","null","10.05","24-03-2025","1","0"
"https://www.vlr.gg/461871/fokus-vs-eintracht-frankfurt-challengers-league-2025-dach-evolution-split-2-a","69","70","2","0","1.09","0.858","213.2","179.4","6","10","null","10.05","30-03-2025","3","1"
"https://www.vlr.gg/458811/team-secret-vs-zeta-division-champions-tour-2025-pacific-stage-1-w2","50","71","0","2","0.9940000000000001","1.004","207.8","204.6","2","6","null","10.05","29-03-2025","1","0"
"https://www.vlr.gg/450059/jdg-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w3","72","73","0","2","0.9039999999999999","1.084","183.0","204.2","2","8","null","null","27-03-2025","1","0"
"https://www.vlr.gg/462286/falke-esports-vs-dnsty-challengers-league-2025-spain-rising-split-2-w1","47","74","1","1","1.124","0.8640000000000001","219.4","168.8","6","2","null","10.04","25-03-2025","3","0.5"
"https://www.vlr.gg/455818/las-cabras-vs-leviat-n-academy-challengers-league-2025-latam-south-ace-stage-1-w3","75","76","0","2","0.668","1.3519999999999999","148.0","230.6","2","3","null","10.04","20-03-2025","3","0"
"https://www.vlr.gg/441348/tbk-esports-vs-furia-academy-gamers-club-challengers-league-2025-brazil-split-1-r7","44","77","0","2","0.798","1.182","165.0","215.8","10","2","null","10.05","26-03-2025","3","0"
"https://www.vlr.gg/454643/akave-esports-gc-vs-no-sweat-blossom-game-changers-2025-latam-north-stage-1-w6","36","78","2","0","1.316","0.6379999999999999","238.2","152.0","9","3","null","10.05","25-03-2025","6","1"
"https://www.vlr.gg/450056/wolves-esports-vs-trace-esports-champions-tour-2025-china-stage-1-w2","79","73","2","0","151.2","78.6","123.4","114.8","4","3","null","null","22-03-2025","1","1"
